2;49: 1
22_23_32_52;3_25_54_60: 1
22_23_32_52;5_25_30_46: 1
22_23_32_52;14_25_47_60: 1
22_23_32_52;16_25_30_60: 2
22_23_32_52;21_43_46_60: 1
22_23_32_52;25_26_47_60: 1
22_23_32_52;25_27_30_46: 10
22_23_32_52;25_30_31_49: 1
22_23_32_52;25_30_34_46: 1
22_23_32_52;25_30_36_46: 2
22_23_32_52;25_30_37_46: 2
22_23_32_52;25_30_38_46: 13
22_23_32_52;25_30_38_60: 1
22_23_32_52;25_30_41_46: 7
22_23_32_52;25_30_43_46: 11
22_23_32_52;25_30_43_60: 1
22_23_32_52;25_30_45_46: 3
22_23_32_52;25_30_46_47: 1
22_23_32_52;25_30_46_57: 1
22_23_32_52;25_30_46_60: 45
22_23_32_52;25_30_46_64: 1
22_23_32_52;25_30_47_60: 1
22_23_32_52;25_30_47_66: 1
22_23_32_52;25_30_54_60: 2
22_23_32_52;25_30_60_66: 2
22_23_32_52;25_31_39_49: 1
22_23_32_52;25_31_47_54: 1
22_23_32_52;25_31_47_66: 1
22_23_32_52;25_37_46_54: 1
22_23_32_52;25_38_39_46: 1
22_23_32_52;25_39_41_46: 1
22_23_32_52;25_39_43_46: 1
22_23_32_52;25_39_46_47: 1
22_23_32_52;25_39_46_54: 1
22_23_32_52;25_41_46_60: 1
22_23_32_52;25_41_54_60: 1
